date,total_confirm,total_suspect,total_heal,total_dead,total_severe,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,name
2020-01-20,270,0,25,6,0,270,0.0,25,6,,,湖北
2020-01-21,375,0,25,9,0,105,,0,3,,,湖北
2020-01-22,444,0,28,17,0,69,0.0,3,8,,,湖北
2020-01-23,549,710,28,24,0,105,,0,7,,,湖北
2020-01-24,729,1405,31,39,0,180,,3,15,,,湖北
2020-01-25,1052,1887,32,52,0,323,,1,13,,,湖北
2020-01-26,1423,4472,42,76,0,371,,10,24,,,湖北
2020-01-27,2714,5324,44,100,0,1291,,2,24,,,湖北
2020-01-28,3554,6940,47,125,0,840,,3,25,,,湖北
2020-01-29,4586,9033,90,162,0,1032,,43,37,,,湖北
2020-01-30,5806,11272,136,204,0,1220,,46,42,,,湖北
2020-01-31,7153,13577,166,249,0,1347,,30,45,,,湖北
2020-02-01,9074,14872,215,294,0,1921,,49,45,,,湖北
2020-02-02,11177,16898,295,350,0,2103,,80,56,,,湖北
2020-02-03,13522,18549,396,414,0,2345,,101,64,,,湖北
2020-02-04,16678,18447,520,479,0,3156,,124,65,,,湖北
2020-02-05,19665,0,633,549,0,2987,0.0,113,70,,,湖北
2020-02-06,22112,21261,817,618,0,2447,0.0,184,69,,,湖北
2020-02-07,24953,0,1115,699,0,2841,0.0,298,81,,,湖北
2020-02-08,27100,28942,1439,780,0,2147,0.0,324,81,0.0,,湖北
2020-02-09,29631,0,1795,871,0,2531,0.0,356,91,,,湖北
2020-02-10,31728,0,2222,974,0,2097,0.0,427,103,,,湖北
2020-02-11,33366,0,2639,1068,0,1638,0.0,417,94,,,湖北
2020-02-12,47163,0,3172,1202,0,13797,0.0,533,134,,,湖北
2020-02-13,51986,0,3862,1318,0,4823,0.0,690,116,,,湖北
2020-02-14,54401,0,4774,1457,0,2415,0.0,912,139,,,湖北
2020-02-15,56249,0,5623,1596,0,1848,0.0,849,139,,,湖北
2020-02-16,58182,0,6639,1696,0,1933,0.0,1016,100,,,湖北
2020-02-17,59989,0,7862,1789,0,1807,0.0,1223,93,,,湖北
2020-02-18,61682,0,9128,1921,0,1693,,1266,132,,,湖北
2020-02-19,62457,0,10337,2029,0,775,,1209,108,,,湖北
2020-02-20,63088,0,11790,2144,0,631,,1453,115,,,湖北
2020-02-21,63454,0,13557,2250,0,366,,1767,106,,,湖北
2020-02-22,63889,0,15299,2346,0,435,,1742,96,,,湖北
2020-02-23,64287,0,16738,2495,0,398,,1439,149,,,湖北
2020-02-24,64786,0,18854,2563,0,499,,2116,68,,,湖北
2020-02-25,65187,0,20912,2615,0,401,,2058,52,,,湖北
2020-02-26,65596,0,23200,2641,0,409,,2288,26,,,湖北
2020-02-27,65914,0,26403,2682,0,318,,3203,41,,,湖北
2020-02-28,66337,0,28895,2727,0,423,,2492,45,,,湖北
2020-02-29,66907,0,31187,2761,0,570,,2292,34,,,湖北
2020-03-01,67103,0,33757,2803,0,196,,2570,42,,,湖北
2020-03-02,67217,0,36167,2834,0,114,,2410,31,,,湖北
2020-03-03,67332,0,38556,2871,0,115,,2389,37,,,湖北
2020-03-04,67466,0,40479,2902,0,134,,1923,31,,,湖北
2020-03-05,67592,0,41966,2931,0,126,,1487,29,,,湖北
2020-03-06,67666,0,43468,2959,0,74,,1502,28,,,湖北
2020-03-07,67707,0,45011,2986,0,41,,1543,27,,,湖北
2020-03-08,67743,0,46433,3007,0,36,,1422,21,,,湖北
2020-03-09,67760,0,47585,3024,0,17,,1152,17,,,湖北
2020-03-10,67773,0,49056,3046,0,13,,1471,22,,,湖北
2020-03-11,67781,0,50298,3056,0,8,,1242,10,,,湖北
2020-03-12,67786,0,51553,3062,0,5,,1255,6,,,湖北
2020-03-13,67790,0,52943,3075,0,4,,1390,13,,,湖北
2020-03-14,67794,0,54278,3085,0,4,,1335,10,,,湖北
2020-03-15,67798,0,55094,3099,0,4,,816,14,,,湖北
2020-03-16,67799,0,55987,3111,0,1,,893,12,,,湖北
2020-03-17,67800,0,56883,3122,0,1,,896,11,,,湖北
2020-03-18,67800,0,57678,3130,0,0,,795,8,,,湖北
2020-03-19,67800,0,58381,3132,0,0,0.0,703,2,0.0,,湖北
2020-03-20,67800,0,58942,3139,0,0,,561,7,,,湖北
2020-03-21,67800,0,59432,3144,0,0,,490,5,,,湖北
2020-03-22,67800,0,59879,3153,0,0,,447,9,,,湖北
2020-03-23,67801,0,60323,3160,0,1,,444,7,,,湖北
2020-03-24,67801,0,60810,3163,0,0,,487,3,,,湖北
2020-03-25,67801,0,61201,3169,0,0,,391,6,,,湖北
2020-03-26,67801,0,61731,3174,0,0,,530,5,,,湖北
2020-03-27,67801,0,62098,3177,0,0,,367,3,,,湖北
